"","Var1","Freq"
"1","alabama",153
"2","arizona",148
"3","arkansas",106
"4","california",960
"5","colorado",143
"6","connecticut",107
"7","delaware",22
"8","district of columbia",129
"9","florida",452
"10","georgia",381
"11","idaho",39
"12","illinois",397
"13","indiana",180
"14","iowa",73
"15","kansas",1025
"16","kentucky",226
"17","louisiana",211
"18","maine",46
"19","maryland",210
"20","massachusetts",227
"21","michigan",246
"22","minnesota",136
"23","mississippi",78
"24","missouri",267
"25","montana",29
"26","nebraska",57
"27","nevada",123
"28","new hampshire",39
"29","new jersey",261
"30","new mexico",53
"31","new york",456
"32","north carolina",431
"33","north dakota",13
"34","ohio",392
"35","oklahoma",252
"36","oregon",61
"37","pennsylvania",349
"38","rhode island",41
"39","south carolina",116
"40","south dakota",19
"41","tennessee",401
"42","texas",1157
"43","utah",84
"44","vermont",14
"45","virginia",252
"46","washington",96
"47","west virginia",74
"48","wisconsin",107
"49","wyoming",17
