"","Var1","Freq"
"1","alabama",107
"2","arizona",182
"3","arkansas",64
"4","california",1225
"5","colorado",122
"6","connecticut",68
"7","delaware",19
"8","district of columbia",121
"9","florida",439
"10","georgia",386
"11","idaho",30
"12","illinois",396
"13","indiana",261
"14","iowa",90
"15","kansas",835
"16","kentucky",146
"17","louisiana",188
"18","maine",26
"19","maryland",205
"20","massachusetts",209
"21","michigan",222
"22","minnesota",190
"23","mississippi",63
"24","missouri",194
"25","montana",14
"26","nebraska",57
"27","nevada",126
"28","new hampshire",36
"29","new jersey",174
"30","new mexico",50
"31","new york",427
"32","north carolina",271
"33","north dakota",15
"34","ohio",321
"35","oklahoma",220
"36","oregon",71
"37","pennsylvania",334
"38","rhode island",27
"39","south carolina",104
"40","south dakota",20
"41","tennessee",184
"42","texas",1261
"43","utah",47
"44","vermont",17
"45","virginia",168
"46","washington",69
"47","west virginia",39
"48","wisconsin",116
"49","wyoming",4
