"","Var1","Freq"
"1","alabama",9
"2","arizona",34
"3","arkansas",13
"4","california",154
"5","colorado",29
"6","connecticut",19
"7","delaware",10
"8","district of columbia",37
"9","florida",61
"10","georgia",46
"11","idaho",6
"12","illinois",76
"13","indiana",33
"14","iowa",34
"15","kansas",241
"16","kentucky",38
"17","louisiana",10
"18","maine",2
"19","maryland",45
"20","massachusetts",45
"21","michigan",43
"22","minnesota",51
"23","mississippi",4
"24","missouri",63
"25","montana",4
"26","nebraska",19
"27","nevada",12
"28","new hampshire",2
"29","new jersey",35
"30","new mexico",6
"31","new york",46
"32","north carolina",35
"33","north dakota",13
"34","ohio",57
"35","oklahoma",41
"36","oregon",17
"37","pennsylvania",52
"38","rhode island",6
"39","south carolina",14
"40","south dakota",7
"41","tennessee",29
"42","texas",107
"43","utah",19
"44","vermont",2
"45","virginia",33
"46","washington",12
"47","west virginia",9
"48","wisconsin",40
"49","wyoming",9
