"","x"
"1","south carolina"
"2","new york"
"3","mississippi"
"4","kentucky"
"5","georgia"
"6","florida"
"7","tennessee"
"8","rhode island"
"9",NA
"10","oklahoma"
"11","florida"
"12","georgia"
"13","pennsylvania"
"14",NA
"15","georgia"
"16","ohio"
"17",NA
"18","arkansas"
"19","florida"
"20",NA
"21",NA
"22","missouri"
"23","north carolina"
"24","alabama"
"25","nevada"
"26","north carolina"
"27","illinois"
"28","georgia"
"29","missouri"
"30",NA
"31",NA
"32","illinois"
"33","texas"
"34","minnesota"
"35","mississippi"
"36","virginia"
"37",NA
"38","wisconsin"
"39","south carolina"
"40",NA
"41","washington"
"42","north carolina"
"43","florida"
"44",NA
"45","mississippi"
"46","maryland"
"47",NA
"48",NA
"49","illinois"
"50","arkansas"
"51","florida"
"52","kansas"
"53","kansas"
"54","kansas"
"55","mississippi"
"56","colorado"
"57","california"
"58","new york"
"59","texas"
"60","new york"
"61","pennsylvania"
"62","ohio"
"63","kansas"
"64","california"
"65","south carolina"
"66","kansas"
"67","florida"
"68","new jersey"
"69","new jersey"
"70","washington"
"71",NA
"72",NA
"73","california"
"74","california"
"75","indiana"
"76","michigan"
"77","illinois"
"78","georgia"
"79","oklahoma"
"80","ohio"
"81","michigan"
"82",NA
"83","alabama"
"84","texas"
"85","kansas"
"86",NA
"87","maryland"
"88","illinois"
"89","georgia"
"90","kansas"
"91","illinois"
"92","new york"
"93",NA
"94","tennessee"
"95","mississippi"
"96","oklahoma"
"97","missouri"
"98","kansas"
"99","kansas"
"100","pennsylvania"
"101","arizona"
"102","west virginia"
"103","nevada"
"104","texas"
"105","west virginia"
"106","oregon"
"107","minnesota"
"108","michigan"
"109",NA
"110",NA
"111","mississippi"
"112","new york"
"113","virginia"
"114",NA
"115","virginia"
"116","california"
"117","alabama"
"118",NA
"119","arkansas"
"120","kansas"
"121",NA
"122","massachusetts"
"123","texas"
"124","california"
"125","illinois"
"126",NA
"127",NA
"128","pennsylvania"
"129","kansas"
"130",NA
"131","ohio"
"132","pennsylvania"
"133","michigan"
"134","kansas"
"135",NA
"136","mississippi"
"137","indiana"
"138","mississippi"
"139","oklahoma"
"140",NA
"141","pennsylvania"
"142","texas"
"143","new york"
"144","new york"
"145","utah"
"146","illinois"
"147","georgia"
"148","ohio"
"149","kansas"
"150","texas"
"151","california"
"152","michigan"
"153","arkansas"
"154","texas"
"155","kansas"
"156","arizona"
"157","south dakota"
"158","louisiana"
"159","texas"
"160","utah"
"161","arkansas"
"162","ohio"
"163","new mexico"
"164","texas"
"165","california"
"166","louisiana"
"167",NA
"168","louisiana"
"169","kansas"
"170","kansas"
"171","pennsylvania"
"172","arizona"
"173","florida"
"174","kansas"
"175","kansas"
"176",NA
"177",NA
"178","arkansas"
"179","wisconsin"
"180","arkansas"
"181","kansas"
"182","nebraska"
"183",NA
"184","alabama"
"185","kansas"
"186","virginia"
"187",NA
"188","arizona"
"189",NA
"190","florida"
"191",NA
"192",NA
"193","new york"
"194","ohio"
"195","georgia"
"196","south dakota"
"197",NA
"198","illinois"
"199","montana"
"200","wisconsin"
"201",NA
"202",NA
"203","kansas"
"204","california"
"205","georgia"
"206","missouri"
"207","florida"
"208","illinois"
"209","texas"
"210",NA
"211",NA
"212",NA
"213",NA
"214","texas"
"215",NA
"216","california"
"217","louisiana"
"218","mississippi"
"219",NA
"220","north carolina"
"221","north carolina"
"222","oklahoma"
"223","tennessee"
"224","virginia"
"225","pennsylvania"
"226","new york"
"227","arizona"
"228","missouri"
"229","oklahoma"
"230","district of columbia"
"231","texas"
"232","montana"
"233","ohio"
"234",NA
"235","pennsylvania"
"236","texas"
"237","district of columbia"
"238","kansas"
"239","california"
"240","texas"
"241","mississippi"
"242","florida"
"243","mississippi"
