"","x"
"1","louisiana"
"2",NA
"3",NA
"4","california"
"5","california"
"6",NA
"7","arizona"
"8","connecticut"
"9","new york"
"10","texas"
"11","texas"
"12","california"
"13","tennessee"
"14","texas"
"15",NA
"16","texas"
"17",NA
"18","california"
"19","minnesota"
"20","california"
"21",NA
"22","texas"
"23","california"
"24","arkansas"
"25","louisiana"
"26","ohio"
"27","ohio"
"28","maryland"
"29","illinois"
"30","indiana"
"31","arizona"
"32","texas"
"33","texas"
"34",NA
"35",NA
"36",NA
"37","michigan"
"38","massachusetts"
"39","tennessee"
"40","ohio"
"41","michigan"
"42","kansas"
"43","kansas"
"44","california"
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50","new jersey"
"51","north carolina"
"52","arizona"
"53","colorado"
"54","california"
"55",NA
"56","pennsylvania"
"57","kansas"
"58","texas"
"59","florida"
"60",NA
"61","kansas"
"62",NA
"63","minnesota"
"64","california"
"65","utah"
"66","new mexico"
"67","illinois"
"68","pennsylvania"
"69","texas"
"70",NA
"71","pennsylvania"
"72","michigan"
"73","texas"
"74","california"
"75","ohio"
"76","california"
"77","california"
"78","florida"
"79","california"
"80","louisiana"
"81","pennsylvania"
"82",NA
"83","indiana"
"84","new york"
"85",NA
"86","new york"
"87","oregon"
"88","kansas"
"89","iowa"
"90","kansas"
"91","illinois"
"92",NA
"93","rhode island"
"94",NA
"95","washington"
"96","kansas"
"97",NA
"98","north carolina"
"99","florida"
"100",NA
"101","new hampshire"
"102","california"
"103","colorado"
"104",NA
"105","kansas"
"106",NA
"107","california"
"108","minnesota"
"109","pennsylvania"
"110",NA
"111",NA
"112","ohio"
"113","iowa"
"114","maryland"
"115",NA
"116",NA
"117","pennsylvania"
"118",NA
"119","texas"
"120","michigan"
"121","illinois"
"122","maryland"
"123",NA
"124",NA
"125","california"
"126","texas"
"127","new york"
"128","california"
"129","illinois"
"130","louisiana"
"131","texas"
"132",NA
"133","california"
"134","texas"
"135","texas"
"136","texas"
"137","district of columbia"
"138","louisiana"
"139","illinois"
"140","california"
"141","district of columbia"
"142",NA
"143","california"
"144","missouri"
"145",NA
"146","texas"
"147","district of columbia"
"148","kansas"
"149","texas"
"150","colorado"
"151","kansas"
"152","california"
"153","texas"
"154","kentucky"
"155","missouri"
"156","georgia"
"157","pennsylvania"
"158",NA
"159","north carolina"
"160","kansas"
"161",NA
"162","connecticut"
"163","texas"
"164","california"
"165","ohio"
"166","georgia"
"167","illinois"
"168","california"
"169","massachusetts"
"170","georgia"
"171","georgia"
"172","california"
"173","kansas"
"174","missouri"
"175","missouri"
"176","florida"
"177","california"
"178","tennessee"
"179","utah"
"180","texas"
"181","kentucky"
"182","pennsylvania"
