"","x"
"1",NA
"2",NA
"3",NA
"4","ohio"
"5",NA
"6",NA
"7","kansas"
"8",NA
"9","georgia"
"10",NA
"11",NA
"12",NA
"13",NA
"14","california"
"15","ohio"
"16",NA
"17",NA
"18","wisconsin"
"19",NA
"20","michigan"
"21",NA
"22",NA
"23",NA
"24","kansas"
"25",NA
"26",NA
"27","connecticut"
"28",NA
"29","utah"
"30",NA
"31",NA
"32","pennsylvania"
"33",NA
"34",NA
"35","kansas"
"36","texas"
"37",NA
"38",NA
"39",NA
"40","minnesota"
"41","oklahoma"
"42","texas"
"43","connecticut"
"44",NA
"45","west virginia"
"46",NA
"47",NA
"48",NA
"49","michigan"
"50",NA
"51","maryland"
"52",NA
"53","illinois"
"54","illinois"
"55",NA
"56","new jersey"
"57","district of columbia"
"58",NA
"59","california"
"60",NA
"61",NA
"62",NA
"63",NA
"64","california"
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73","florida"
"74",NA
"75","south dakota"
"76","maryland"
"77","north carolina"
"78",NA
"79",NA
"80",NA
"81","wyoming"
"82",NA
"83","new mexico"
"84",NA
"85","delaware"
"86",NA
"87","florida"
"88",NA
"89","kansas"
"90",NA
"91","texas"
"92",NA
"93",NA
"94",NA
"95","minnesota"
"96","south carolina"
"97","maryland"
"98",NA
"99","illinois"
"100","ohio"
"101",NA
"102","texas"
"103",NA
"104",NA
"105","massachusetts"
"106",NA
"107","kansas"
"108",NA
"109","kansas"
"110",NA
"111",NA
"112",NA
"113","illinois"
"114","michigan"
"115","california"
"116","kentucky"
"117","california"
"118",NA
"119","kentucky"
"120","kansas"
"121",NA
"122","pennsylvania"
"123",NA
"124","california"
"125","oklahoma"
"126",NA
"127",NA
"128",NA
"129","california"
"130","rhode island"
"131",NA
"132",NA
"133",NA
"134","massachusetts"
"135","nevada"
"136",NA
"137","california"
"138",NA
"139","georgia"
"140","kansas"
"141","louisiana"
"142",NA
"143","ohio"
"144",NA
"145",NA
"146",NA
"147","kansas"
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153","california"
"154","connecticut"
"155","kentucky"
"156",NA
"157","florida"
"158","kansas"
"159","district of columbia"
"160",NA
"161","virginia"
"162",NA
"163",NA
"164","illinois"
"165",NA
"166","kentucky"
"167",NA
"168","oklahoma"
"169","california"
"170",NA
"171",NA
"172",NA
"173","kansas"
"174",NA
"175","california"
"176",NA
"177","florida"
"178",NA
"179",NA
"180","california"
"181","pennsylvania"
"182",NA
"183","kansas"
"184",NA
"185","utah"
"186","missouri"
"187","pennsylvania"
"188",NA
"189",NA
"190",NA
"191",NA
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198","texas"
"199",NA
"200","utah"
"201",NA
"202","massachusetts"
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
"210","california"
"211","maryland"
"212",NA
"213",NA
"214",NA
"215","florida"
"216","texas"
"217",NA
"218","oregon"
"219","kansas"
"220",NA
"221","kansas"
"222",NA
"223",NA
"224",NA
"225","nebraska"
"226","alabama"
"227","arizona"
"228","michigan"
"229","vermont"
"230","florida"
"231","kansas"
"232",NA
"233","iowa"
"234","georgia"
"235","michigan"
"236","oklahoma"
"237",NA
"238","illinois"
"239",NA
"240","texas"
"241",NA
"242","kentucky"
"243","massachusetts"
"244","kansas"
"245","california"
"246","ohio"
"247","new mexico"
"248",NA
"249","wisconsin"
"250","ohio"
"251",NA
"252","north dakota"
"253",NA
"254","ohio"
"255",NA
"256",NA
"257",NA
"258",NA
"259","illinois"
"260","kansas"
"261",NA
"262","california"
"263","maryland"
"264","nebraska"
"265","oregon"
"266","california"
"267","north carolina"
"268","maryland"
"269","california"
"270","district of columbia"
"271",NA
"272","kansas"
"273","florida"
"274","ohio"
"275","louisiana"
"276","california"
"277","district of columbia"
"278",NA
"279",NA
"280",NA
"281",NA
"282","arkansas"
"283",NA
"284","kansas"
"285","wisconsin"
"286","wisconsin"
"287","illinois"
"288",NA
"289","texas"
"290",NA
"291",NA
"292","connecticut"
"293",NA
"294",NA
"295",NA
"296",NA
"297","wisconsin"
"298","massachusetts"
"299","illinois"
"300","michigan"
"301",NA
"302",NA
"303",NA
"304","mississippi"
"305",NA
"306",NA
"307","district of columbia"
"308",NA
"309","pennsylvania"
"310","maryland"
"311",NA
"312",NA
"313","florida"
"314","california"
"315",NA
"316","virginia"
"317","massachusetts"
"318","virginia"
"319","district of columbia"
"320",NA
"321",NA
"322",NA
"323",NA
"324",NA
"325","district of columbia"
"326",NA
"327",NA
"328",NA
"329","new york"
"330","texas"
"331","utah"
"332",NA
"333",NA
"334","kansas"
"335",NA
"336",NA
"337","south carolina"
"338",NA
"339",NA
"340",NA
"341",NA
"342",NA
"343",NA
"344","kansas"
"345",NA
"346",NA
"347","arizona"
"348",NA
"349",NA
"350","north carolina"
"351","nevada"
"352","missouri"
"353","virginia"
"354",NA
"355",NA
"356",NA
"357","kansas"
"358","maryland"
"359",NA
"360",NA
"361","connecticut"
"362",NA
"363","minnesota"
"364","texas"
"365",NA
"366",NA
"367","california"
"368","illinois"
"369",NA
"370","minnesota"
"371","georgia"
"372","florida"
"373",NA
"374","illinois"
"375","texas"
"376",NA
"377",NA
"378","kansas"
"379",NA
"380",NA
"381","indiana"
"382","kansas"
"383",NA
"384","pennsylvania"
"385","kansas"
"386","new york"
"387","colorado"
"388",NA
"389",NA
"390","kansas"
"391","california"
"392",NA
"393",NA
"394",NA
"395","iowa"
"396",NA
"397",NA
"398","illinois"
"399","texas"
"400","kansas"
"401","texas"
"402","georgia"
"403","north dakota"
"404","texas"
"405",NA
"406","idaho"
"407","louisiana"
"408",NA
"409",NA
"410","indiana"
"411",NA
"412","california"
"413",NA
"414","massachusetts"
"415",NA
"416","texas"
"417","california"
"418",NA
"419","arizona"
"420",NA
"421",NA
"422",NA
"423","new jersey"
"424","north carolina"
"425",NA
"426","massachusetts"
"427","minnesota"
"428",NA
"429","iowa"
"430",NA
"431","rhode island"
"432",NA
"433","kansas"
"434","kansas"
"435","north dakota"
"436","kansas"
"437","california"
"438",NA
"439","minnesota"
"440","minnesota"
"441",NA
"442","south dakota"
"443","south dakota"
"444",NA
"445","missouri"
"446","kansas"
"447",NA
"448","massachusetts"
"449","illinois"
"450",NA
"451","ohio"
"452","illinois"
"453","georgia"
"454","iowa"
"455","kansas"
"456","pennsylvania"
"457","kansas"
"458",NA
"459",NA
"460","new york"
"461",NA
"462","florida"
"463",NA
"464",NA
"465","massachusetts"
"466","missouri"
"467",NA
"468","iowa"
"469",NA
"470",NA
"471","illinois"
"472","utah"
"473","texas"
"474","missouri"
"475",NA
"476","new jersey"
"477",NA
"478",NA
"479",NA
"480","west virginia"
"481","virginia"
"482","texas"
"483","maryland"
"484","new jersey"
"485","maryland"
"486",NA
"487",NA
"488","district of columbia"
"489",NA
"490","illinois"
"491",NA
"492",NA
"493",NA
"494",NA
"495","arizona"
"496","pennsylvania"
"497","kansas"
"498","delaware"
"499","oklahoma"
"500",NA
"501","california"
"502","illinois"
"503","kansas"
"504","oklahoma"
"505","kansas"
"506","california"
"507",NA
"508","kansas"
"509","massachusetts"
"510",NA
"511","texas"
"512","texas"
"513","new york"
"514","wisconsin"
"515","kansas"
"516",NA
"517","north dakota"
"518","nebraska"
"519",NA
"520","california"
"521","north carolina"
"522",NA
"523",NA
"524","ohio"
"525","texas"
"526","new york"
"527","north carolina"
"528","ohio"
"529",NA
"530","missouri"
"531","north carolina"
"532","connecticut"
"533","connecticut"
"534","connecticut"
"535",NA
"536","south dakota"
"537",NA
"538",NA
"539","virginia"
"540","wisconsin"
"541","delaware"
"542",NA
"543","wisconsin"
"544",NA
"545","illinois"
"546",NA
"547",NA
"548","ohio"
"549",NA
"550",NA
"551",NA
"552","nebraska"
"553",NA
"554",NA
"555",NA
"556","delaware"
"557",NA
"558","texas"
"559","kansas"
"560","california"
"561","georgia"
"562","michigan"
"563",NA
"564","kansas"
"565","florida"
"566",NA
"567",NA
"568","district of columbia"
"569",NA
"570",NA
"571",NA
"572",NA
"573","california"
"574",NA
"575","new york"
"576",NA
"577","new york"
"578","massachusetts"
"579","georgia"
"580","kentucky"
"581","district of columbia"
"582",NA
"583","florida"
"584",NA
"585",NA
"586",NA
"587",NA
"588",NA
"589",NA
"590","washington"
"591",NA
"592","california"
"593","kansas"
"594","michigan"
"595","california"
"596",NA
"597",NA
"598","kansas"
"599",NA
"600",NA
"601","michigan"
"602","pennsylvania"
"603",NA
"604",NA
"605",NA
"606","texas"
"607","tennessee"
"608","indiana"
"609","kansas"
"610",NA
"611",NA
"612","indiana"
"613","north dakota"
"614","texas"
"615","florida"
"616","kansas"
"617",NA
"618","missouri"
"619","new york"
"620","wyoming"
"621",NA
"622","texas"
"623","wisconsin"
"624",NA
"625","district of columbia"
"626",NA
"627","connecticut"
"628","texas"
"629",NA
"630",NA
"631","florida"
"632",NA
"633","georgia"
"634","new york"
"635",NA
"636","illinois"
"637",NA
"638","iowa"
"639","new mexico"
"640","kentucky"
"641","iowa"
"642","oklahoma"
"643","georgia"
"644",NA
"645",NA
"646","texas"
"647",NA
"648",NA
"649",NA
"650",NA
"651","new york"
"652","california"
"653","california"
"654",NA
"655","colorado"
"656","texas"
"657",NA
"658",NA
"659","oregon"
"660",NA
"661","texas"
"662",NA
"663","iowa"
"664",NA
"665","kansas"
"666","mississippi"
"667","new york"
"668","california"
"669",NA
"670",NA
"671",NA
"672","indiana"
"673",NA
"674",NA
"675",NA
"676","missouri"
"677","arkansas"
"678","utah"
"679",NA
"680",NA
"681",NA
"682","wisconsin"
"683","maryland"
"684","california"
"685","pennsylvania"
"686","maryland"
"687","kansas"
"688","massachusetts"
"689","texas"
"690",NA
"691",NA
