"","STATENAME","ACTIVITY.LEVEL"
"1","alabama",2
"203","arizona",2
"352","arkansas",1
"664","california",9
"1180","colorado",2
"1259","connecticut",1
"1350","delaware",1
"1444","district of columbia",2
"1454","florida",4
"2326","georgia",4
"2707","idaho",1
"2940","illinois",4
"3269","indiana",2
"3526","iowa",1
"3782","kansas",9
"3895","kentucky",2
"4292","louisiana",2
"4942","maine",1
"5341","maryland",2
"5907","massachusetts",2
"6193","michigan",3
"7023","minnesota",2
"7396","mississippi",1
"7778","missouri",3
"8093","montana",1
"8331","nebraska",1
"8539","nevada",1
"8609","new hampshire",1
"8734","new jersey",3
"8939","new mexico",1
"9017","new york",4
"9512","north carolina",4
"10294","north dakota",0
"10399","ohio",4
"10637","oklahoma",3
"10921","oregon",1
"11157","pennsylvania",3
"11329","rhode island",1
"11395","south carolina",1
"11699","south dakota",1
"11865","tennessee",4
"12154","texas",10
"13242","utah",1
"13301","vermont",1
"13430","virginia",3
"14164","washington",1
"14709","west virginia",1
"15082","wisconsin",1
"15470","wyoming",1
