"","x"
"1","Conway, SC"
"2","NYC/CO"
"3","Mississippi"
"4","Grayson, KY"
"5","Atlanta, GA"
"6","Florida, USA"
"7","Knoxville, TN"
"8","Rhode Island"
"9","Wales / Cardiff"
"10","45°10'00.2""N 114°37'34.4""W"
"11","15"
"12","St Petersburg, FL"
"13","<U+0001F911><U+0001F911>"
"14","Georgia, USA"
"15","Carlisle, PA"
"16","Jersey"
"17","georgia"
"18","Ohio, USA"
"19","New York, NY"
"20","North Little Rock, AR"
"21","Florida, USA"
"22","New York, NY"
"23","San Clemente, CA"
"24","Springfield, MO"
"25","Western North Carolina, USA"
"26","Florence, AL"
"27","Las Vegas, NV"
"28","FunFact (#Satire)Twitter's TOP10 #6 @DrJaneDoeNoMoe(The 7/27/2004 JaneDoe)via @anthonyanderson<U+231B><U+FE0F>http://www.finsterdata.com/twitter/topic-times_up/<U+0001F3BC><U+0001F4CE>"
"29","Fuquay Varina, NC"
"30","Chicago"
"31","Atlanta"
"32","Kansas City, MO"
"33","Canada"
"34","Wasaga Beach, Ontario"
"35","Chicago, IL"
"36","Dayton, TX"
"37","Minnesota "
"38","Mississippi, USA"
"39","Richmond, VA"
"40","Jamaica "
"41","Milwaukee, WI"
"42","Myrtle Beach, SC"
"43","México"
"44","Washington, USA"
"45","Raleigh, NC"
"46","Florida, USA"
"47","Ciudad de Mexico"
"48","Mississippi, USA"
"49","Baltimore, MD"
"50","Manaus-AM"
"51","San Diego, CA"
"52","Arlington Heights, IL"
"53","Arkansas"
"54","South Florida"
"55","United States"
"56","Kansas, USA"
"57","United States"
"58","Oxford"
"59","Denver, CO"
"60","Paso Robles, CA"
"61","Brooklyn, NY"
"62","Austin, Texas"
"63","Rochester, NY"
"64","Scranton, PA"
"65","Ohio, USA"
"66","United States"
"67","Sacramento, CA"
"68","Lyman, SC"
"69","Lawrence, Kansas, USA"
"70","Florida, USA"
"71","east brunswick, nj usa"
"72","Dorchester ,NJ"
"73","3930 Hoyt Ave.   Everett,Wa"
"74","Cuba"
"75","BC, Canada"
"76","Left Coast, SF Bay Area"
"77","Sacramento, CA"
"78","Fishers, IN"
"79","Grand Rapids, MI"
"80","Chicago, IL"
"81","Georgia, USA"
"82","Mundo "
"83","Columbus, OH"
"84","Hudsonville, MI"
"85","Águas Claras, DF"
"86","Alabama"
"87","Junction, TX"
"88","United States"
"89","Australia"
"90","Baltimore"
"91","Chicago, IL"
"92","Atlanta, GA"
"93","United States"
"94","Joliet, IL"
"95","Brooklyn, NY"
"96","San Diego, CA"
"97","Tennessee, USA"
"98","Starkville, MS"
"99","Oklahoma City, OK"
"100","Present"
"101","United States"
"102","United States"
"103","Ridgway pa"
"104","Phoenix, AZ"
"105","Parkersburg, W.Va."
"106","Reno, NV"
"107","Texas"
"108","BurbleJerry of AO3"
"109","Parkersburg, WV"
"110","Rip City "
"111","Wayzata"
"112","Michigan, USA"
"113","Romania"
"114","Toronto, Canada"
"115","Mississippi"
"116","Lancaster, NY"
"117","Virginia, USA"
"118","VPPËR CANADA"
"119","Virginia"
"120","Southern California "
"121","Vestavia Hills, AL"
"122","Norway"
"123","Jonesboro, Arkansas USA"
"124","Mars"
"125","NYC"
"126","Boston, MA"
"127","Austin, TX"
"128","Southern California"
"129","Chicago, IL"
"130","New Westminster"
"131","Villanueva, Zacatecas"
"132","Newtown Square, Pa."
"133","United States"
"134","brussels, belgium"
"135","Ohio, USA"
"136","Ohiopyle, Pa"
"137","Grand Rapids, MI"
"138","United States"
"139","Ottawa"
"140","Mississippi, USA"
"141","Indiana, USA"
"142","Starkville, MS"
"143","Norman, OK"
"144","Jamaica"
"145","Pennsylvania, USA"
"146","Junction, TX"
"147","Brooklyn, NY"
"148","Orchard Park, NY"
"149","SLC"
"150","Chicago"
"151","Atlanta"
"152","Ohio, USA"
"153","United States"
"154","Na:tinixw ~ Dahwilahlding"
"155","Austin, TX"
"156","Oakland, CA"
"157","Michigan, USA"
"158","Little Rock, Arkansas "
"159","San Antonio, TX"
"160","USA"
"161","Ahwatukee, Arizona"
"162","South Dakota"
"163","Abbeville, La"
"164","Dallas, Texas"
"165","Salt Lake City, UT"
"166","Texarkana, Texas"
"167","Cleveland! "
"168","las cruces "
"169","Junction, TX"
"170","Tracy, CA"
"171","Houma, LA"
"172","Canada"
"173","Hammond, LA"
"174","United States"
"175","540<U+2708><U+FE0F>804"
"176","United States"
"177","im a girl"
"178","Philadelphia, PA"
"179","Phoenix, AZ"
"180","Carrollwood, FL"
"181","United States"
"182","United States"
"183","Bay Area, CA, USA"
"184","Tampa, FL"
"185","Little Rock, AR"
"186","Eau Claire, WI"
"187","arkansas"
"188","United States"
"189","Omaha, NE"
"190","USA/Israel "
"191","Alabama, USA"
"192","United States"
"193","Virginia, USA"
"194","Nenagh, Ireland"
"195","Phoenix, AZ"
"196","New York, NY"
"197","Orlando, FL"
"198","Jersey"
"199","Australia"
