"","x"
"1","Baton Rouge, LA"
"2","New York, NY"
"3","Bruce,Grey,Huron Counties, ON"
"4","Gilroy"
"5","Los Angeles, CA"
"6","Erie"
"7","Phoenix, Arizona"
"8","Connecticut, USA"
"9","Buffalo, NY"
"10","houston "
"11","Texas, USA"
"12","La Puente, CA"
"13","Tennessee"
"14","Austin, Texas "
"15","Miami, FL"
"16","Dallas, TX"
"17","Montréal, Québec"
"18","Los Angeles, CA"
"19","Minneapolis, MN"
"20","San Francisco, CA"
"21","Venezuela"
"22","Pasadena, TX"
"23","San Francisco, CA"
"24","Arkansas, USA"
"25","Louisiana, USA"
"26","Gahanna, OH"
"27","Columbus, OH"
"28","Baltimore, MD"
"29","Mount Vernon, IL"
"30","Carmel, IN"
"31","Mesa, AZ"
"32","Freeport, TX"
"33","Dallas, TX"
"34","Thailand"
"35","Richmond (Vancouver) BC"
"36","Far and Few"
"37","kevin’s heart (<U+0E51>´<U+0348> <U+0962><U+A1F4> `<U+0348>)<U+301C><U+2661><U+0970><U+0971>"
"38","Eastside of Detroit"
"39","Boston, MA"
"40","Chattanooga, TN"
"41","Cleveland, OH"
"42","Saginaw, MI <U+2708><U+FE0F> Dallas,TX"
"43","America"
"44","United States"
"45","Oakland, Ca"
"46","NYC"
"47","Ontario Canada"
"48","Toronto, Ontario"
"49","San Diego, CA, USA"
"50","Detroit, MI"
"51","Colonia, NJ"
"52","she/her/fan acc"
"53","Greenville, NC"
"54","Oregano"
"55","kkkkk"
"56","Denver, CO"
"57","Oakland, CA"
"58","Malaysia"
"59","Pennsylvania, USA"
"60","Peace Lover Planet"
"61","Female | 18"
"62","Onalaska, TX"
"63","Belleview, FL"
"64","New York City"
"65","wano"
"66","Montréal, Québec"
"67","blue earth"
"68","Galaxy Supernova"
"69","Lancaster, CA"
"70","SLC, UT"
"71","New Mexico, USA"
"72","Morris, IL"
"73","Pittsburgh, PA"
"74","Desoto, TX"
"75","Ottawa, Ontario"
"76","Pittsburgh, PA"
"77","Michigan"
"78","Houston, TX"
"79","Fullerton, CA"
"80","Zanesville, OH"
"81","Highland Park, Los Angeles"
"82","Los Angeles, CA"
"83","Florida, USA"
"84","Sacramento, CA"
"85","New Orleans, LA"
"86","pgh"
"87","New York, NY"
"88","pawnee, indiana"
"89","Syracuse, NY"
"90","Toronto, Ontario"
"91","Hudson Valley area of NY"
"92","Oregon, USA"
"93","United States"
"94","I.O.I <U+25AA> wanjeonchae <U+2661>"
"95","Lost in the internet"
"96","USA"
"97","Chicago"
"98","Cyberjaya"
"99","PVD"
"100","New York, NY"
"101","Washington, USA"
"102","J"
"103","New York, NY"
"104","Dimmsdale Dimmadome"
"105","North Carolina, USA"
"106","Jacksonville Beach, FL"
"107","Lake County, OH"
"108","Contoocook, New Hampshire"
"109","Silicon Valley, CA"
"110","Colorado Springs, CO"
"111","Hamilton, ON, Canada"
"112","United States"
"113","Cockburn Island, Ontario"
"114","Shafter, CA"
"115","Fosston, Mn"
"116","IZ*ONE City~"
"117","Pennsylvania, USA"
"118","New York "
"119","Toronto"
"120","Findlay, OH"
"121","Indianola, Iowa"
"122","Maryland and Maine"
"123","London - Buenos Aires"
"124","Malaysia"
"125","Philadelphia Suburbs, USA"
"126","Manila City, National Capital "
"127","Houston, TX"
"128","Michigan, USA"
"129","Chicago, IL"
"130","Baltimore, MD"
"131","Toronto"
"132","Toronto, Ontario"
"133","California, USA"
"134","Austin, TX"
"135","New York State"
"136","Lemoore"
"137"," <U+0001F430><U+0001F43B>"
"138","© rightful owners"
"139","Chicago, IL"
"140","Lake Charles, LA"
"141","Houston, TX"
"142","<U+0295>•<U+1D25>•<U+0294><U+0295>•<U+1D25>•<U+0294>"
"143","Charleston, SC"
"144","Los Angeles, CA"
"145","Pasadena, Tx"
"146","San Antonio, TX"
"147","Alice"
"148","Washington, DC"
"149","Clinton , LA "
"150","Ellisville, IL"
"151","fullerton"
"152","Washington, DC"
"153","hong kong"
"154","Northern California"
"155","*<U+0E2A><U+0E25><U+0E31><U+0E1A><U+0E40><U+0E40><U+0E2D><U+0E04><U+0E44><U+0E1B>/<U+0E21><U+0E32> <U+0E2D><U+0E1E><U+0E22><U+0E1E><U+0E21><U+0E32><U+0E19><U+0E35><U+0E48><U+0E1A><U+0E48><U+0E2D><U+0E22><U+0E46>*"
"156","Marshfield, MO"
"157","McMaster Chilldren's Hospital"
"158","Texas, USA"
"159","Washington, DC"
"160","United States"
"161","Dallas, TX"
"162","Centennial, CO"
"163","Earth"
"164","Twitter"
"165","Laredo, TX"
"166","Bowling Green, KY"
"167","South Blue"
"168","Atlanta, GA"
"169","Kalye Crisostomo"
"170","Pa"
"171","cali east bay"
"172","Goldsboro NC "
"173","<U+0E1B><U+0E30><U+0E40><U+0E17><U+0E48><U+0E14><U+0E41><U+0E0A><U+0E19><U+0E21><U+0E34><U+0E49><U+0E19>"
"174","United States"
"175","Raftel"
"176","Connecticut, USA"
"177","Fort Worth, TX"
"178","Fresno, CA"
"179","Ohio, USA"
"180","Neverland"
"181","Chicago"
"182","csudh"
"183","<U+0001F49B>"
"184","Massachusetts, USA"
"185","Athens, GA"
"186","Columbus, GA"
"187","Porterville, CA"
"188","United States"
"189","THANKYOU"
"190","Independence, MO"
"191","Polk County, Fl"
"192","California, USA"
"193","Sweetwater, TN"
"194","Utah"
"195","Texas, USA"
"196","Cincinnati, OH"
"197","Pennsylvania, USA"
"198","Buffalo, Mn"
"199","Youngstown State University"
"200","Amelia, Ohio"
"201","Houston, TX"
"202","St. John, IN"
"203","Memphis, TN"
"204","Columbus, OH"
"205","Corona, CA"
"206","Tampa, FL"
"207","California, USA"
"208","Huntingtown, MD"
"209","Philadelphia, PA"
"210","Reading, Pa"
"211","Beaumont, TX"
"212","Overland Park, KS"
"213","Nashville"
"214","Winchester, TN"
"215","Kingsport, TN"
"216","Troy, AL"
"217","Virginia, USA"
"218","Texas, USA"
"219","Memphis, Tennessee"
"220","New England, USA"
"221","N.O.L.A. <U+269C><U+FE0F>"
"222","Tampa, FL"
"223","Croton-on-Hudson, NY"
"224","Los Angeles, CA"
"225","Boston, MA"
"226","Texas, USA"
"227","Monterrey, Nuevo León"
"228","Fresno, CA"
"229","Fort Payne, AL"
"230","Nowhere"
"231","San Antonio, TX"
"232","GoNiskyGo!"
"233","Connecticut, USA"
"234","New York, NY"
"235","Jamaica"
"236","Canada"
"237","Las Cruces, NM"
"238","Atlanta"
"239","Bowling Green, Ky."
"240","Polo, IL"
"241","Mars"
"242","Big Orange Country"
"243","SE Tennessee"
"244","Knoxville, TN"
"245","Sydney, Australia"
"246","Houston, TX"
"247","Fort Lauderdale, FL"
"248","Tampa, FL"
"249","Irondequoit, NY"
"250","Atl"
"251","Pennsylvania, USA"
"252","Greeneville, TN"
"253","ATL | LA | NY"
"254","South Carolina, USA"
"255","somewhere seeking Him"
"256","Waynoka, OK"
"257","Arkansas, USA"
"258","Brooklyn"
"259","Modesto, CA"
"260","United States"
"261","Sacramento, CA"
"262","Valley Forge, PA"
"263","New York, USA"
"264","West Missouri"
"265","Albuquerque, NM"
"266","Hamilton, Ontario"
"267","Wisconsin, USA"
"268","California"
"269","Arizona, USA"
"270","Montreal, Quebec"
"271","Davis, CA"
"272","Sioux Lookout, ON"
"273","New Jersey, USA"
"274","Australia"
"275","Texas, USA"
"276","Tulsa, OK"
"277","Florida, USA"
"278","LCV—BUF—PDX"
"279","United States"
"280","Higginsville, MO"
"281","Ontario, Canada"
"282","Canada"
"283","USA"
"284","Homestead, FL"
"285","Minneapolis"
"286","Florida, USA"
"287","France"
"288","Multiverse//SouthOmaha"
"289","North Carolina, USA"
"290","Alpine, TX"
"291","Michigan"
"292","Tamaki Makaurau Auckland NZ"
"293","United States"
"294","New York, USA"
"295","Reno, NV"
"296","Orlando, FL"
"297","Omaha,NE"
"298","Australia"
"299","Griffin, GA"
"300","New York, NY"
"301","California, USA"
"302","Ontario, CA"
"303","Kansas City, MO"
"304","texas"
"305","Maryland, USA"
"306","Washington DC - "
"307","chicago "
"308","Houston, TX"
"309","Los Angeles, CA"
"310","Selma, AL"
"311","Silicon Valley, CA"
"312","Los Angeles, CA"
"313","New Jersey, USA"
"314","New York, NY"
"315","Winnipeg, Manitoba"
"316","TX"
"317","Boerne & Crownridge"
"318","Atwater, CA"
"319","Bay Lake (via Columbus, Ohio)"
