"","x"
"1","Corpus Christi, TX"
"2","Pachuca, Hidalgo, México"
"3","Cuauhtémoc, Distrito Federal"
"4","Columbus, OH"
"5","Southern Ontario, Canada"
"6","Paris, France"
"7","USA"
"8","Denmark"
"9","Norcross, GA"
"10","Torreón, Coahuila de Zaragoza"
"11","Puebla, México"
"12","San Luis Potosí, México"
"13","Limerick, Ireland"
"14","Orange County, California"
"15","Cleveland,OH"
"16","Monterrey Nuevo Leon "
"17","Hermosillo, Sonora"
"18","Wisconsin, USA"
"19","Camargo, Chihuahua"
"20","Grand Rapids, MI"
"21","Jamaica"
"22","Toronto, Ontario"
"23","Finland"
"24","United States"
"25","Mexico"
"26","Distrito Federal, México"
"27","Avon, CT"
"28","Estado de México"
"29","Salt Lake City, UT"
"30","Nuevo Laredo, Tamaulipas"
"31","London"
"32","Somewhere near Pittsburgh, PA"
"33","Askim, Norway"
"34","Montemorelos, Nuevo León."
"35","USA"
"36","Texas, USA"
"37","Mérida, Yucatán, México"
"38","Petawawa, Ontario"
"39","Toluca"
"40","Minnesota"
"41","Saturn"
"42","Dallas, TX"
"43","New Haven, CT"
"44","Monterrey, N.L., Mexico"
"45","West Virginia, USA"
"46","Canada"
"47","Alaska"
"48","Mexico"
"49","Michigan, USA"
"50"," <U+062C><U+062F><U+0647> Jeddah<U+0627><U+0644><U+0645><U+0631><U+0643><U+0632> <U+0627><U+0644><U+0637><U+0628><U+064A> <U+0627><U+0644><U+062F><U+0648><U+0644><U+064A>"
"51","Baltimore, MD"
"52","San Cristóbal, Táchira"
"53","Peru, IL"
"54","Illinois, USA"
"55","Gustavo Gomez Azcarate #205"
"56","Ciudad de México"
"57","Madison, NJ"
"58","Washington, DC"
"59","Germany"
"60","Valencia, CA"
"61","ZonaMetropolitanadeCaracas"
"62","Guadalajara, Jalisco"
"63","Guadalajara, México"
"64","San Luis Potosí"
"65","Garden Grove, CA"
"66","Guadalajara, Jalisco"
"67","NYC"
"68","Ensenada, México."
"69","México"
"70","Mexico city"
"71","Colombia"
"72","Mexico D.F."
"73","MEXICO"
"74","Freezer"
"75","New York, NY"
"76","Spearfish, SD"
"77","Bethesda, MD"
"78","Foothills of NC"
"79","En este pais Mi pais Tu pais"
"80","New York, USA"
"81","Finland"
"82","Hidalgo, México"
"83","Casper, WY"
"84","Mississauga, Ontario"
"85","New Mexico, USA"
"86","New York, NY"
"87","Delaware, USA"
"88","Argentina/ Buenos Aires"
"89","South FL"
"90","Egypt,mansoura"
"91","United States"
"92","Mexico"
"93","Harlingen"
"94","Palawan - Manila"
"95","EGYPT"
"96","Táchira, Venezuela"
"97","ESPERA EL TIEMPO ES PERFECTO"
"98","Minnesota, USA"
"99","Spartanburg, SC"
"100","Rockville, MD"
"101","Caracas, Venezuela"
"102","Elgin"
"103","Columbus, OH"
"104","Australia"
"105","9ja"
"106","Education is the most powerful weapon you can use to change the world. - Nelson Mandela"
"107","Eastbourne, England"
"108","Newcastle, Australia"
"109","Massachusetts, USA"
"110","Mexico, D.F."
"111","United States"
"112","Pachuca, Hgo"
"113","8 different US states"
"114","Amozoc"
"115","Victoria, Tamaulipas"
"116","Puebla, México"
"117","Chicago,IL"
"118","Holland, MI"
"119","San Francisco, CA"
"120","Patriot, Indiana"
"121","Cerca de ti<U+0001F342> "
"122","Los Angeles, CA"
"123","México, Mérida"
"124","Kentucky, USA"
"125","USA"
"126","Pais en Reconstruccion"
"127","Yucatán, México"
"128","Pittsburgh, PA"
"129","San Luis Potosí, México"
"130","Los Angeles, CA"
"131","Muskogee,Ok"
"132","venezuela"
"133","Ciudad de México"
"134","México"
"135","Los Angeles and Philadelphia"
"136","Newport RI"
"137","Instagram: @ttm71010"
"138","Sw5 earls court london"
"139","London Earls Court sw5"
"140","london- earls court sw5"
"141","Wakefield, MA"
"142","Mesquite, NV"
"143","Puebla, Puebla"
"144","California"
"145","San Miguel de Allende"
"146","Atlanta, GA"
"147","US"
"148","Baton Rouge, LA"
"149","México"
"150","Hamilton, OH, USA"
"151","Canada"
"152","Barcelona"
"153","Monterrey"
"154","United States"
"155","Mérida Yucatán"
"156","México"
"157","Merida, Yucatan"
"158","Mérida, México"
"159","Mérida, Yucatán"
"160","Northern California"
"161","Connecticut, USA"
"162","Cincinnati, OH"
"163","caracas"
"164","Florida"
"165","Estados Unidos"
"166","Washington, DC"
"167","Ciudad de México"
"168","Staunton, VA"
"169","Caracas, Venezuela"
"170","Mérida, Yucatán."
"171","Good ol USA"
"172","Columbia, IL"
"173","venezuela"
"174","Bowling Green, KY"
"175","Distrito Capital, Venezuela"
"176","Oklahoma City, OK"
"177","San Francisco, CA"
"178","celaya gto"
